,2020,2030,2040,2050
Distrib Grid,0.19198548427999604,0.10980140264245332,0.08444740056071898,0.06953589908944462
AC Lines,0.020115923893837897,0.01403489381362238,0.011370086498198444,0.010111258400287976
DC Lines,0.010234928370294803,0.027093208942268958,0.024970606757148132,0.027457121285190237
Solar,0.09938958120560393,0.2350385335794638,0.2723205303551019,0.3064480259641694
ROR,0.129992811080654,0.07793217459101986,0.04895749312007835,0.038949906593054154
Wind (Onshore),0.2226924687221136,0.25742801951486144,0.3298007407445034,0.32824906761321526
Wind (Offshore),0.06271617294180866,0.12309060644836532,0.1097917601376915,0.11723119912651679
PHS,0.09261268318110906,0.0555223610829902,0.034879504197028025,0.02774965268654891
Hydro,0.16618543549574483,0.09963006620038005,0.062588248129292,0.049794347363325914
Battery,0.004074510828837221,0.0004287331845747417,0.020873629500239303,0.024473521878246703
