Year,Distrib Grid,AC Lines,DC Lines,PHS,Hydro,Battery
1995,0.4892898694629947,0.030630814418568634,0.0,0.2151928038867807,0.3861448410855428,0.025894136698172303
1996,0.48554530985597943,0.031063912606618265,0.0,0.21421996162541607,0.3843991599399335,0.02519426863642968
1997,0.4818007502489642,0.03149701079466789,0.0,0.21324711936405144,0.38265347879432426,0.02449440057468706
1998,0.47805619064194893,0.031930108982717524,0.0,0.21227427710268681,0.380907797648715,0.023794532512944437
1999,0.4743116310349336,0.032363207170767155,0.0,0.2113014348413222,0.3791621165031057,0.02309466445120182
2000,0.47056707142791837,0.03279630535881679,0.0,0.21032859257995756,0.37741643535749647,0.0223947963894592
2001,0.4668225118209031,0.03322940354686642,0.0,0.20935575031859294,0.3756707542118872,0.02169492832771658
2002,0.4630779522138878,0.03366250173491605,0.0,0.2083829080572283,0.3739250730662779,0.02099506026597396
2003,0.45933339260687256,0.03409559992296568,0.0,0.20741006579586369,0.3721793919206687,0.02029519220423134
2004,0.4555888329998573,0.03452869811101531,0.0,0.20643722353449906,0.37043371077505943,0.01959532414248872
2005,0.45184427339284206,0.03496179629906494,0.0,0.20546438127313443,0.36868802962945013,0.0188954560807461
2006,0.44809971378582675,0.03539489448711457,0.0,0.20449153901176978,0.3669423484838409,0.018195588019003478
2007,0.4443551541788115,0.0358279926751642,0.0,0.20351869675040515,0.36519666733823164,0.01749571995726086
2008,0.4406105945717962,0.03626109086321383,0.0,0.20254585448904053,0.3634509861926224,0.01679585189551824
2009,0.43686603496478094,0.03669418905126346,0.0,0.2015730122276759,0.3617053050470131,0.01609598383377562
2010,0.4331214753577657,0.03712728723931309,0.0,0.20060016996631128,0.35995962390140385,0.015396115772032998
2011,0.42937691575075043,0.03756038542736272,0.0,0.19962732770494665,0.3582139427557946,0.01469624771029038
2012,0.4256323561437351,0.037993483615412355,0.0,0.19865448544358202,0.3564682616101853,0.01399637964854776
2013,0.4218877965367199,0.038426581803461986,0.0,0.1976816431822174,0.35472258046457605,0.01329651158680514
2014,0.4181432369297046,0.03885967999151162,0.0,0.19670880092085277,0.3529768993189668,0.012596643525062519
2015,0.4143986773226893,0.03929277817956124,0.0,0.19573595865948812,0.35123121817335756,0.0118967754633199
2016,0.41065411771567406,0.03972587636761087,0.0,0.1947631163981235,0.34948553702774826,0.011196907401577279
2017,0.4069095581086588,0.040158974555660504,0.0009042979769479167,0.19379027413675887,0.347739855882139,0.01049703933983466
2018,0.40316499850164356,0.040592072743710135,0.007634150864630044,0.19281743187539424,0.34599417473652977,0.00979717127809204
2019,0.39942043889462825,0.041025170931759766,0.014364003752312173,0.19184458961402961,0.34424849359092047,0.00909730321634942
2020,0.395675879287613,0.0414582691198094,0.0210938566399943,0.190871747352665,0.3425028124453112,0.0083974351546068
2021,0.39193131968059775,0.04189136730785903,0.027823709527676432,0.18989890509130036,0.340757131299702,0.00769756709286418
2022,0.38818676007358244,0.04232446549590866,0.03455356241535856,0.18892606282993574,0.3390114501540927,0.00699769903112156
2023,0.3844422004665672,0.04275756368395829,0.04128341530304069,0.1879532205685711,0.33726576900848343,0.006297830969378939
2024,0.38069764085955193,0.04319066187200792,0.04801326819072282,0.18698037830720649,0.3355200878628742,0.00559796290763632
2025,0.3769530812525367,0.043623760060057554,0.05474312107840495,0.18600753604584186,0.3337744067172649,0.004898094845893699
2026,0.3732085216455214,0.04405685824810718,0.06147297396608707,0.1850346937844772,0.33202872557165564,0.004198226784151079
2027,0.3694639620385061,0.04448995643615681,0.0682028268537692,0.18406185152311258,0.3302830444260464,0.0034983587224084595
2028,0.36571940243149087,0.04492305462420644,0.07493267974145133,0.18308900926174795,0.32853736328043714,0.0027984906606658396
2029,0.36197484282447556,0.04535615281225607,0.08166253262913346,0.18211616700038333,0.32679168213482784,0.0020986225989232197
2030,0.3582302832174603,0.0457892510003057,0.0883923855168156,0.1811433247390187,0.3250460009892186,0.0013987545371805998
2031,0.35772176404762,0.045965108416166585,0.08999544258345685,0.17761502525134512,0.31871477326988124,0.00998788643152974
2032,0.3572132448777797,0.04614096583202746,0.0915984996500981,0.17408672576367154,0.3123835455505439,0.01857701832587888
2033,0.35670472570793943,0.04631682324788834,0.09320155671673934,0.17055842627599796,0.3060523178312065,0.02716615022022802
2034,0.35619620653809914,0.046492680663749224,0.09480461378338059,0.16703012678832438,0.29972109011186915,0.03575528211457716
2035,0.35568768736825884,0.046668538079610106,0.09640767085002185,0.1635018273006508,0.29338986239253173,0.044344414008926296
2036,0.35517916819841855,0.04684439549547098,0.0980107279166631,0.15997352781297722,0.28705863467319437,0.05293354590327544
2037,0.35467064902857826,0.04702025291133186,0.09961378498330435,0.15644522832530364,0.280727406953857,0.06152267779762458
2038,0.35416212985873796,0.047196110327192745,0.10121684204994559,0.15291692883763006,0.27439617923451964,0.07011180969197371
2039,0.35365361068889767,0.04737196774305362,0.10281989911658684,0.14938862934995648,0.2680649515151823,0.07870094158632285
2040,0.3531450915190574,0.0475478251589145,0.1044229561832281,0.1458603298622829,0.2617337237958449,0.08729007348067198
2041,0.3510819692888751,0.0476281475274947,0.10711038744793824,0.14454390941442108,0.2593715213640721,0.0902640649571986
2042,0.34901884705869274,0.0477084698960749,0.1097978187126484,0.14322748896655924,0.2570093189322993,0.09323805643372522
2043,0.34695572482851045,0.0477887922646551,0.11248524997735855,0.1419110685186974,0.25464711650052646,0.09621204791025183
2044,0.34489260259832816,0.0478691146332353,0.1151726812420687,0.14059464807083558,0.25228491406875364,0.09918603938677845
2045,0.34282948036814587,0.047949437001815504,0.11786011250677886,0.13927822762297376,0.24992271163698082,0.10216003086330505
2046,0.3407663581379635,0.0480297593703957,0.120547543771489,0.13796180717511192,0.24756050920520797,0.10513402233983166
2047,0.33870323590778123,0.0481100817389759,0.12323497503619915,0.13664538672725007,0.24519830677343515,0.10810801381635828
2048,0.33664011367759894,0.0481904041075561,0.1259224063009093,0.13532896627938826,0.24283610434166233,0.11108200529288488
2049,0.3345769914474166,0.0482707264761363,0.12860983756561944,0.13401254583152644,0.24047390190988951,0.1140559967694115
2050,0.3325138692172343,0.0483510488447165,0.1312972688303296,0.1326961253836646,0.2381116994781167,0.1170299882459381
