Year,Value
1995,1.0657764478764478
1996,1.0657764478764478
1997,1.0657764478764478
1998,1.0657764478764478
1999,1.0657764478764478
2000,0.9236125490196078
2001,0.8956295275590551
2002,0.9455737254901961
2003,1.1311603921568625
2004,1.2439023166023166
2005,1.2440902723735405
2006,1.2555988235294118
2007,1.3704780392156863
2008,1.4707554687499997
2009,1.3947824218750002
2010,1.3257166666666667
2011,1.391955252918288
2012,1.284788671875
2013,1.328118039215686
2014,1.3285007843137255
2015,1.109512890625
2016,1.106903112840467
2017,1.129681176470588
2018,1.1809545098039214
2019,1.1194745098039214
2020,1.1421961089494164
2021,1.1827403100775193
2022,1.0530486381322957
2023,1.0812686274509804
2024,1.0866030837004408
2025,1.135914
2026,1.232827280592607
2027,1.3337613231835859
2028,1.3951345254782612
2029,1.3733652851819578
2030,1.224872
2031,1.1979496906552813
2032,1.1987064668635612
2033,1.199463243071841
2034,1.200220019280121
2035,1.2009767954884008
2036,1.2017335716966806
2037,1.2024903479049605
2038,1.2032471241132403
2039,1.2040039003215202
2040,1.2047606765298
2041,1.20551745273808
2042,1.20627422894636
2043,1.2070310051546398
2044,1.2077877813629196
2045,1.2085445575711995
2046,1.2093013337794793
2047,1.2100581099877592
2048,1.210814886196039
2049,1.211571662404319
2050,1.2123284386125988
